cmt_img,nstep,colors
arsalidou_images_png/4n_1.png,4,"[(0, 0, 255, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (128, 0, 128, 255), (255, 0, 0, 255), (255, 255, 0, 255), (128, 0, 128, 255), (128, 0, 128, 255)]"
arsalidou_images_png/4n_2.png,4,"[(128, 0, 128, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 165, 0, 255), (128, 0, 128, 255), (255, 0, 0, 255), (0, 0, 255, 255), (255, 0, 0, 255), (0, 255, 0, 255)]"
arsalidou_images_png/4n_3.png,4,"[(255, 0, 255, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255)]"
arsalidou_images_png/4n_4.png,4,"[(0, 255, 0, 255), (128, 0, 128, 255), (0, 0, 255, 255), (255, 165, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (255, 0, 255, 255), (255, 0, 0, 255), (255, 165, 0, 255)]"
arsalidou_images_png/4n_5.png,4,"[(255, 0, 0, 255), (128, 0, 128, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255), (0, 0, 255, 255), (0, 255, 0, 255), (255, 165, 0, 255), (0, 255, 0, 255)]"
arsalidou_images_png/4n_6.png,4,"[(128, 0, 128, 255), (255, 255, 0, 255), (255, 255, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 255, 0, 255)]"
arsalidou_images_png/4n_7.png,4,"[(255, 255, 0, 255), (0, 255, 0, 255), (255, 0, 0, 255), (128, 0, 128, 255), (0, 255, 0, 255), (0, 255, 0, 255), (255, 255, 0, 255), (255, 255, 0, 255), (255, 0, 255, 255)]"
arsalidou_images_png/4n_8.png,4,"[(255, 255, 0, 255), (0, 255, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (128, 0, 128, 255), (128, 0, 128, 255), (255, 0, 0, 255), (128, 0, 128, 255), (255, 255, 0, 255)]"
arsalidou_images_png/4n_9.png,4,"[(255, 0, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (255, 0, 255, 255), (255, 0, 255, 255), (0, 0, 255, 255), (255, 255, 0, 255), (255, 165, 0, 255), (0, 0, 255, 255)]"
arsalidou_images_png/4n_10.png,4,"[(0, 0, 255, 255), (255, 255, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255), (128, 0, 128, 255), (255, 165, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255)]"
arsalidou_images_png/4n_11.png,4,"[(0, 0, 255, 255), (0, 0, 255, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 0, 0, 255), (255, 255, 0, 255), (255, 165, 0, 255), (255, 255, 0, 255), (255, 0, 255, 255)]"
arsalidou_images_png/4n_12.png,4,"[(0, 255, 0, 255), (255, 0, 0, 255), (255, 0, 0, 255), (255, 165, 0, 255), (255, 165, 0, 255), (255, 0, 255, 255), (0, 0, 255, 255), (128, 0, 128, 255), (0, 255, 0, 255)]"
